"species","decimalLatitude","decimalLongitude"
"196","Mesophyllum erubescens",-39,174.116667
"197","Mesophyllum erubescens",-39.516667,173.9
"198","Mesophyllum erubescens",-40.78085,172.983167
"199","Mesophyllum erubescens",-41.349167,174.762667
"200","Mesophyllum erubescens",-39.516667,173.9
"201","Mesophyllum erubescens",-42.315,171.273333
"202","Mesophyllum erubescens",-36.833333,175.166667
"203","Mesophyllum erubescens",-41.345,174.821667
"204","Mesophyllum erubescens",-41.345,174.821667
"205","Mesophyllum erubescens",-41.331667,174.831667
"206","Mesophyllum erubescens",-40.85,173.883333
"207","Mesophyllum erubescens",-41.345,174.821667
"208","Mesophyllum erubescens",-41.349167,174.762667
"209","Mesophyllum erubescens",-41.345,174.821667
"210","Mesophyllum erubescens",-41.349167,174.762667
"211","Mesophyllum erubescens",-41.349167,174.762667
"212","Mesophyllum erubescens",-41.345,174.821667
"213","Mesophyllum erubescens",-39.516667,173.9
"214","Mesophyllum erubescens",-41.345,174.821667
"215","Mesophyllum erubescens",-34.417667,173.051833
"216","Mesophyllum erubescens",-41.350333,174.766667
"217","Mesophyllum erubescens",-41.733333,174.283333
"218","Mesophyllum erubescens",-41.345,174.821667
"219","Mesophyllum erubescens",-41.345,174.821667
"220","Mesophyllum erubescens",-42.515,173.51
"221","Mesophyllum erubescens",-36.601133,175.549083
"222","Mesophyllum erubescens",-37.672333,178.753167
"223","Mesophyllum erubescens",-38.596667,178.2
"224","Mesophyllum erubescens",-34.9355,173.653833
"225","Mesophyllum erubescens",-41.349167,174.762667
"226","Mesophyllum erubescens",-40.141667,176.865833
"227","Mesophyllum erubescens",-34.417667,173.051833
"228","Mesophyllum erubescens",-34.9355,173.653833
"229","Mesophyllum erubescens",-38.596667,178.2
"230","Mesophyllum erubescens",-43.941667,-176.566667
"231","Mesophyllum erubescens",-41.350333,174.766667
"232","Mesophyllum erubescens",-41.349167,174.762667
"233","Mesophyllum erubescens",-37.672333,178.753167
"234","Mesophyllum erubescens",-44.033333,-176.333333
"235","Mesophyllum erubescens",-44.018683,-176.383083
"236","Mesophyllum erubescens",-18.083333,-38.6
"237","Mesophyllum erubescens",-17.9625,-38.695278
